T1,T2,load_1,load_2
30.5,2.6,0,0
34,2.6,25,0
39,2.6,50,0
50,2.8,75,0
71.5,2.5,100,0
31,3.4,0,0.5
34.2,3.2,25,0.5
40,3.2,50,0.5
51,3.2,75,0.5
71.8,3.2,100,0.5
31.3,4.4,0,1.35
34.5,4.3,25,1.35
41.5,4.2,50,1.35
54,4.1,75,1.35
72,4.2,100,1.35
32.5,8.2,0,5
38.5,8.2,25,5
51.5,8.6,50,5
62.5,8.8,75,5
75,9.2,100,5
34,10.6,0,8
43.5,10.8,25,8
53,10.8,50,8
64.5,11.9,75,8
77.5,14,100,8
35,12,0,10
44,12.1,25,10
54,13.4,50,10
65.5,15,75,10
78,17.6,100,10
114.4230769,5.223880597,150,0
216.3461538,41.04477612,200,0
286.5384615,70.89552239,250,0
42.30769231,34.32835821,0,25
57.21153846,35.82089552,50,25
85.09615385,39.55223881,100,25
141.3461538,52.23880597,150,25
218.75,83.58208955,200,25
295.1923077,131.3432836,250,25
41.82692308,76.86567164,0,50
59.13461538,79.10447761,50,50
89.42307692,79.85074627,100,50
153.3653846,97.01492537,150,50
236.5384615,150.7462687,200,50
303.3653846,204.4776119,250,50
41.82692308,144.7761194,0,75
58.65384615,144.7761194,50,75
100.4807692,134.3283582,100,75
155.2884615,151.4925373,150,75
246.6346154,232.8358209,200,75
308.1730769,285.0746269,250,75
42.30769231,247.761194,0,100
60.57692308,225.3731343,50,100
115.8653846,200.7462687,100,100
162.9807692,221.641791,150,100
250.9615385,320.1492537,200,100
42.30769231,292.5373134,0,125
62.5,310.4477612,50,125
123.0769231,282.8358209,100,125
175.4807692,315.6716418,150,125
317,369,250,100
250,385,200,125
320,416,250,125